0.783	0.374	1.356	0.120	1.785	0.077	2.286	0.059	2.713	0.026
0.808	0.350	1.369	0.125	1.809	0.074	2.297	0.073	2.725	0.043
0.831	0.328	1.381	0.098	1.833	0.072	2.310	0.054	2.737	0.025
0.856	0.305	1.394	0.143	1.858	0.063	2.322	0.058	2.750	0.027
0.881	0.292	1.408	0.120	1.882	0.059	2.334	0.067	2.762	0.056
0.905	0.270	1.418	0.115	1.906	0.054	2.346	0.057	2.764	0.072
0.929	0.254	1.430	0.112	1.932	0.052	2.358	0.043	2.786	0.065
0.954	0.244	1.443	0.103	1.956	0.041	2.371	0.040	2.799	0.055
0.978	0.232	1.455	0.072	1.968	0.081	2.383	0.056	2.811	0.050
1.003	0.219	1.467	0.120	1.980	0.073	2.395	0.051	2.823	0.045
1.027	0.214	1.479	0.106	1.992	0.076	2.407	0.050	2.835	0.041
1.052	0.205	1.492	0.100	2.004	0.069	2.420	0.048	2.847	0.036
1.076	0.192	1.508	0.101	2.016	0.058	2.432	0.044	2.850	0.032
1.100	0.182	1.523	0.082	2.029	0.069	2.444	0.047	2.860	0.030
1.125	0.187	1.540	0.102	2.041	0.095	2.469	0.047	2.865	0.021
1.137	0.175	1.552	0.098	2.053	0.111	2.481	0.067	2.870	0.108
1.149	0.168	1.565	0.093	2.065	0.074	2.493	0.030	2.872	0.173
1.161	0.164	1.577	0.090	2.078	0.066	2.505	0.029	2.875	0.285
1.173	0.154	1.589	0.104	2.090	0.059	2.517	0.028	2.880	0.121
1.185	0.139	1.601	0.097	2.102	0.052	2.530	0.031	2.885	0.068
1.198	0.126	1.614	0.091	2.114	0.072	2.542	0.044	2.890	0.065
1.200	0.098	1.626	0.087	2.126	0.051	2.554	0.070	2.895	0.067
1.211	0.180	1.638	0.083	2.138	0.090	2.566	0.049	2.908	0.060
1.223	0.167	1.650	0.082	2.151	0.066	2.578	0.036	2.920	0.053
1.235	0.160	1.662	0.098	2.163	0.058	2.591	0.044	2.933	0.042
1.247	0.152	1.675	0.080	2.175	0.051	2.603	0.058	2.945	0.043
1.259	0.146	1.687	0.081	2.187	0.042	2.615	0.059	2.958	0.084
1.271	0.147	1.699	0.058	2.200	0.033	2.627	0.046	2.970	0.085
1.283	0.141	1.711	0.077	2.212	0.043	2.639	0.037	2.982	0.060
1.296	0.138	1.723	0.088	2.224	0.054	2.650	0.032	2.994	0.043
1.308	0.136	1.735	0.085	2.237	0.065	2.664	0.027	3.006	0.034
1.320	0.134	1.747	0.097	2.249	0.068	2.675	0.063	3.017	0.056
1.332	0.130	1.760	0.092	2.261	0.070	2.688	0.045	3.031	0.052
1.344	0.123	1.772	0.083	2.274	0.065	2.700	0.035	0	0
