Theta	E	Eerr
61.800754	1685.663112	4.976933
61.800754	1827.019083	0.796455
61.800754	1079.978136	18.934278
91.819392	1837.167377	0.155138
91.819392	1695.322208	1.278160
143.295413	1737.810592	0.116778
143.295413	1470.889381	0.338555
143.295413	1578.704622	0.731693
60.977362	1695.417010	4.480436
60.977362	1830.614626	0.794043
60.977362	1088.931905	19.727282
63.660591	1350.846344	15.685367
63.660591	1806.563899	0.662009
62.952042	1696.686001	6.098624
62.952042	1826.998750	1.178085
62.952042	1103.364487	28.787449
159.357394	1732.971240	0.126610
159.357394	1451.942130	0.365590
159.357394	1566.804810	0.663593
54.152975	1836.829806	0.739013
54.152975	1701.789092	4.505315
54.152975	1017.068333	23.412745
56.837351	1404.945110	16.666979
56.837351	1827.372588	0.584017
160.475379	1733.933678	0.128731
160.475379	1452.453175	0.360567
160.475379	1569.330711	0.399312
155.681401	1733.652102	0.127626
155.681401	1457.424088	0.358628
155.681401	1570.634006	0.490167
148.657641	1722.599171	0.102504
148.657641	1436.850180	0.394795
148.657641	1555.465177	0.426586
157.997778	1733.218147	0.123047
157.997778	1454.080336	0.356816
157.997778	1568.996491	0.565648
147.144240	1732.006996	0.122114
147.144240	1459.446716	0.336645
147.144240	1572.953811	0.525309
97.796300	1827.275215	0.143200
97.796300	1714.168961	3.199915
97.796300	1642.108456	1.039470
157.416026	1733.539532	0.163778
157.416026	1454.408243	0.457326
109.247941	1806.833547	0.152555
109.247941	1602.807606	0.586953
53.007835	1837.623080	0.960232
53.007835	1723.719404	6.882145
53.007835	943.951871	52.708464
118.776092	1790.129842	0.158381
118.776092	1565.006281	0.455776
75.552651	1863.175686	0.284662
75.552651	1280.359307	29.699563
75.552651	1755.576621	1.603363
116.924844	1791.883542	0.157877
116.924844	1570.133424	0.472626
116.924844	1662.316922	0.788788
58.560023	1405.132989	15.901567
58.560023	1826.020116	0.537076
104.340421	1816.325671	0.145267
104.340421	1624.696193	0.569204
111.498694	1800.345019	0.152703
111.498694	1589.782658	0.585372
106.830273	1809.257165	0.144663
106.830273	1608.891500	0.614672
59.098771	2174.528310	217.037310
59.098771	1826.734266	0.692482
55.771141	1729.368385	43.355584
55.771141	1825.712521	0.624152
67.190810	1884.042744	0.431581
67.190810	1786.293928	1.268780
67.190810	1597.369566	6.061481
67.190810	971.632204	21.417281
116.393821	1792.354738	0.222247
116.393821	1570.314318	0.756421
116.393821	1637.634577	10.120699
125.111190	1775.023316	0.227433
125.111190	1538.674193	0.552576
125.111190	1634.475775	1.660808
150.419071	1711.531887	0.114656
150.419071	1423.736629	0.498525
150.419071	1543.064451	0.438908
145.442439	1735.200761	0.129206
145.442439	1465.009844	0.338759
145.442439	1572.696648	0.716209
94.482456	1836.285167	0.150042
94.482456	1688.258446	1.286252
154.893125	1734.661427	0.141643
154.893125	1458.069042	0.409514
154.893125	1572.113540	0.613631
149.829389	1719.902552	0.212967
149.829389	1433.277182	0.561765
149.829389	1550.721236	0.817297
105.516623	1813.821471	0.150688
105.516623	1619.130365	0.781853
113.530297	1798.335980	0.150028
113.530297	1585.329666	0.527461
117.624721	1791.402354	0.182808
117.624721	1568.692812	0.557402
117.624721	1662.745268	0.724993
102.122388	1818.614953	0.139600
102.122388	1625.719667	0.693753
102.122388	1703.877607	1.443754
97.125911	1827.302732	0.170532
97.125911	1647.905243	0.840942
152.277027	1729.440840	0.288667
152.277027	1461.097311	0.484984
152.277027	1562.292692	1.068571
152.277027	1413.008023	1.076381
79.672751	1856.095368	0.247865
79.672751	1744.276076	1.486347
142.033740	1740.145111	0.138779
142.033740	1475.394071	0.349053
98.910181	1826.926150	0.144232
98.910181	1649.434470	1.147874
114.340629	1796.895912	0.169232
114.340629	1581.843479	0.503191
149.318574	1720.232610	0.422879
149.318574	1533.470850	23.443966
149.318574	1430.117559	1.746637
91.154507	1836.819392	0.176135
91.154507	1658.487574	0.835964
91.154507	1707.766745	2.981666
64.490760	1698.419903	7.297771
64.490760	1828.654400	1.868612
64.490760	1140.521798	31.684041
59.745142	1784.109264	5.469898
59.745142	1850.938940	1.604903
59.745142	475.244956	3.468224
59.745142	1646.753889	15.152275
59.745142	756.343751	59.082989
59.745142	1368.314776	54.121608
121.662684	1784.400987	0.169078
121.662684	1554.508109	0.431359
120.987513	1785.792385	0.216171
120.987513	1555.550989	0.557618
120.987513	1651.757144	0.939902
66.462104	1891.091894	0.517782
66.462104	1771.859242	3.348837
66.462104	1847.572391	2.597113
66.462104	1614.404968	8.656211
66.462104	1030.387111	39.784233
148.095624	1729.457381	0.177275
148.095624	1455.876115	0.519619
148.095624	1566.473983	0.937670
103.271069	1817.829001	0.145333
103.271069	1628.306450	0.715476
126.543094	1775.070907	0.287818
126.543094	1535.051372	0.627224
126.543094	2036.131219	1800.564288
156.715086	1733.572733	0.133180
156.715086	1454.664614	0.397588
156.715086	1572.268197	0.575992
57.576594	1464.028324	27.007848
57.576594	1826.634024	0.653257
107.812954	1808.150654	0.154087
107.812954	1607.381971	0.654714
141.343309	1741.003085	0.205208
141.343309	1477.749236	0.531722
141.343309	1583.929871	0.857621
153.645797	1735.269996	0.126394
153.645797	1460.017192	0.314422
153.645797	1572.464886	0.543687
110.798624	1804.303857	0.184052
110.798624	1596.602327	0.669549
108.485148	1807.084976	0.220053
108.485148	1602.703622	0.911726
108.485148	1685.453474	1.488872
123.793695	1779.108370	0.219852
123.793695	1545.717355	0.576631
99.614220	1825.251501	0.178786
99.614220	1668.217383	1.721137
162.271081	1734.006239	0.118087
162.271081	1451.261686	0.402029
162.271081	1568.189569	0.458522
60.391232	1727.488686	10.538037
60.391232	1834.995938	1.671398
60.391232	1127.297159	164.627354
164.096392	1733.877078	0.143443
164.096392	1454.811909	0.640309
152.892817	1735.565210	0.210502
152.892817	1461.465513	0.576719
152.892817	1574.649995	0.919364
73.490751	1870.902712	0.307894
73.490751	1753.332419	2.310933
73.490751	1390.000722	23.420378
146.419311	1734.324958	0.150665
146.419311	1464.465308	0.392724
146.419311	1572.968487	0.753477
119.386345	1788.490901	0.216275
119.386345	1563.083282	0.622423
95.204534	1831.236099	0.179018
95.204534	1676.794367	1.514374
158.631501	1733.133803	0.187757
158.631501	1452.982684	0.613215
158.631501	1567.983071	0.969869
124.527603	1776.277801	0.421855
124.527603	1481.370315	201.514701
124.527603	1540.343744	0.906046
68.494265	1881.499502	0.394174
68.494265	1760.518497	1.354477
68.494265	1340.584817	14.452500
82.851845	1850.992067	0.236518
93.962308	1836.792401	0.217520
93.962308	1691.487709	1.902005
65.527849	1884.172707	0.672635
65.527849	1779.810048	1.193724
65.527849	1379.386376	16.184035
101.281454	1818.901821	0.157547
101.281454	1625.402359	0.720659
101.281454	1704.456855	1.351875
100.623947	1823.162164	0.180666
100.623947	1639.029653	1.028696
120.347599	1786.387647	0.228169
120.347599	1555.286132	0.619805
120.347599	1648.692621	2.178823
151.597766	1709.357641	0.134756
151.597766	1419.026950	0.660411
151.597766	1539.985075	0.679093
96.238028	1827.406377	0.156155
96.238028	1638.693532	0.662790
96.238028	1688.850612	2.283398
144.754025	1735.807336	0.159447
144.754025	1466.509769	0.388237
144.754025	1574.887928	0.714640
144.243237	1736.252069	0.193843
144.243237	1468.841442	0.481082
144.243237	1578.738814	0.719615
81.408078	1851.582007	0.232053
86.660551	1851.232259	0.407568
86.660551	1709.020673	1.337977
86.660551	1833.202859	1.213257
161.584120	1734.536810	0.158307
161.584120	1453.209661	0.541107
112.841681	1799.353065	0.183482
112.841681	1585.817816	0.561824
69.091788	1878.822871	0.473421
69.091788	1789.915843	2.198731
69.091788	1628.987451	8.210805
69.091788	1006.040078	43.007210
77.090194	1860.713842	0.292497
77.090194	1760.608103	1.603675
77.090194	1251.024652	36.541607
92.595042	1837.104295	0.176677
92.595042	1693.974875	1.437309
162.831467	1733.917337	0.166280
162.831467	1451.108120	0.598377
162.831467	1569.448737	0.600514
163.397902	1733.787265	0.251782
163.397902	1447.699715	0.832440
80.427592	1864.167798	0.654653
80.427592	1738.583017	2.242549
80.427592	1842.582921	1.355262
86.139953	1845.116487	0.229348
86.139953	1705.874927	1.909989
112.013390	1800.055945	0.234967
112.013390	1586.315739	0.818658
122.790180	1782.593623	0.193114
122.790180	1550.718593	0.478958
109.847791	1805.297966	0.204442
109.847791	1598.273688	0.652982
106.153926	1810.200165	0.262070
106.153926	1610.339905	1.392188
104.869103	1816.120739	0.400410
104.869103	1629.619429	8.975146
115.521802	1794.933040	0.175480
115.521802	1576.850546	0.553042
74.472858	1864.891344	0.314910
74.472858	1754.076522	1.734591
74.472858	1380.231359	29.542512
93.389425	1837.164307	0.241535
93.389425	1690.964458	2.131784
77.714297	1860.323491	0.406203
77.714297	1752.938591	2.142919
142.600918	1739.294865	0.245405
142.600918	1472.765254	0.559006
127.120123	1774.056596	0.454937
127.120123	1532.184235	1.342845
127.120123	1940.171311	3071.562272
69.785175	1876.112912	0.426132
69.785175	1761.442898	1.908136
69.785175	1391.431851	30.328595
70.801499	1869.679436	0.437112
70.801499	1611.945256	7.369960
76.557861	1869.333937	0.535761
76.557861	1836.176294	1.897994
76.557861	1733.817906	3.589272
151.037088	1710.187119	0.284919
151.037088	2157.084809	3892.530708
151.037088	1418.360895	1.404535
161.009446	1735.348743	0.374625
161.009446	1446.183298	1.262124
161.009446	1513.874177	530.842579
82.187023	1851.252419	0.355245
83.356231	1859.711364	0.716203
83.356231	1836.779227	2.010150
83.356231	1728.194250	3.951130
71.518844	1882.074196	0.780579
71.518844	1855.427047	2.029224
71.518844	1617.938093	9.385994
71.518844	1775.859021	3.453780
71.518844	1049.972986	45.208888
84.499608	1850.894830	0.208207
84.499608	1736.441186	1.714256
89.759914	1842.707603	0.170190
89.759914	1704.845184	1.336747
125.876461	1774.439553	0.366644
