Theta	E	Eerr
91.397498	2526.771702	0.824138
142.611060	2604.620240	0.151604
142.611060	2211.501652	0.346767
141.122799	2606.828470	0.210875
141.122799	2215.951226	0.463275
141.122799	2382.799038	0.801824
108.873760	2727.144001	0.202805
108.873760	2427.718796	0.622381
96.138700	2756.071336	0.178697
96.138700	2490.326366	0.686696
122.217924	2690.735387	0.255081
122.217924	2494.295062	1.330908
123.652950	2687.065268	0.308662
123.652950	2341.979662	0.956684
123.652950	2572.324427	1258.788342
99.591835	2754.271217	0.714239
99.591835	4248.363607	1044.351805
99.591835	2481.989533	5.066714
99.591835	5138.282439	1322.236488
110.604227	2722.708690	0.235588
110.604227	2417.433324	0.788257
105.173789	2739.716429	0.197312
105.173789	2451.451707	0.696438
151.996004	2561.873028	0.208677
151.996004	2596.882556	0.300211
151.996004	2130.893553	0.482917
151.996004	2196.310231	0.891690
151.996004	2313.584228	0.679127
144.262400	2600.725409	0.184798
144.262400	2203.072404	0.460149
144.262400	2372.702132	0.617373
101.255679	2745.600641	0.167572
101.255679	2466.586686	0.540615
101.255679	2585.920606	0.841841
89.518003	2791.903599	0.425661
141.746462	2606.264444	0.169946
141.746462	2214.265114	0.423121
141.746462	2381.590148	0.566132
149.126760	2572.056529	0.162101
149.126760	2145.911652	0.345277
149.126760	2326.813598	0.504390
158.492849	2590.241991	0.594799
158.492849	2176.212459	3.043888
158.492849	-91182273.894589	258278323.656847
106.558255	2731.260557	0.288718
106.558255	2432.461729	0.959919
114.188429	2712.382775	0.176774
114.188429	2396.282910	0.524341
75.548539	2824.979325	1411146.088172
75.548539	13252.311523	1455831.448884
75.548539	7343.817050	143.842911
119.198839	2698.738864	0.191150
119.198839	2367.161586	0.564830
119.198839	2509.695001	1.006320
78.413675	2819.749490	0.888952
116.719087	2704.213137	0.433593
116.719087	3606.655491	578.844746
121.046382	2693.208535	0.337161
121.046382	2352.608544	0.880756
126.514182	2678.272603	0.302926
126.514182	2327.777592	0.654897
126.514182	2622.994234	1630.087266
117.895252	2702.103707	0.522666
77.330879	2820.556387	0.679091
159.515746	2588.192740	0.265519
159.515746	2172.425317	0.813632
159.515746	2350.233923	1.201700
127.136824	2676.813282	0.474145
127.136824	2325.047742	2.336644
127.136824	-48335613.868841	389368112.658462
150.502586	2562.075910	0.162957
150.502586	2134.078516	0.372558
100.737235	2750.666185	0.508296
100.737235	5018.504368	11836.945670
100.737235	9265.872475	5564.377810
151.468325	2561.388334	0.178939
151.468325	2130.031427	0.421237
151.468325	2313.508791	0.693953
146.245964	2596.851272	0.273989
146.245964	2196.842792	0.632288
146.245964	2367.410509	1.248866
71.757485	2834.852121	0.644115
84.519367	2805.564901	0.354855
148.620294	2573.720624	0.352437
148.620294	2149.326245	1.091226
163.889617	2584.828871	0.270673
163.889617	2162.601072	0.665791
163.889617	2341.534300	1.591737
119.703083	2698.935609	1.048324
119.703083	2214.724585	1298.294425
114.750052	2711.683075	346042.972035
114.750052	2384.628043	337869.931191
90.858320	2776.219347	0.338227
90.858320	2526.921162	1.537313
90.858320	3193.557834	169.468357
101.834829	2745.574355	1144606.611946
101.834829	4172.307824	979485.796617
101.834829	2486.193688	107.139540
125.936184	2676.998353	1.104609
125.936184	9338542.574411	31258773.017567
124.883595	2679.493436	0.879106
