Theta	E	Eerr
72.115079	2379.377045	0.473853
72.115079	2357.750096	1.440602
72.115079	2249.009878	1.903185
72.115079	5935.839421	1434.602268
76.944083	2359.839955	0.227697
164.188930	2162.700517	0.147464
164.188930	1811.921254	0.420980
58.301599	2374.099099	1.022477
58.301599	2282.254974	2.616756
58.301599	2614.290350	201.541980
58.301599	597.536908	2.422900
85.865775	2337.231199	0.158757
61.444496	2393.729307	0.645220
61.444496	2313.740670	1.730399
61.444496	968.429643	37.922507
61.444496	2135.219495	7.305939
113.377943	2274.525867	0.144388
113.377943	2010.531501	0.463399
70.391046	2379.883865	0.388359
70.391046	3336.274793	2547.018959
70.391046	2348.820297	2.217815
70.391046	2246.134915	2.149074
112.833976	2275.295763	0.186989
112.833976	2013.772663	0.623577
112.833976	10203.436355	47690.259797
148.637029	2151.452895	0.118049
148.637029	1795.643386	0.254168
148.637029	1947.344637	0.354284
60.582300	2395.252484	0.924213
60.582300	2320.426337	2.324191
60.582300	2156.123432	10.421801
60.582300	867.097204	53.893186
141.361984	2178.055916	0.157486
141.361984	1849.115958	0.391437
59.479115	2381.171620	1.399054
59.479115	2305.052253	2.930285
59.479115	1413.212750	38.575016
59.479115	2125.151929	8.132975
59.479115	585.129324	2.585563
147.320977	2165.561741	0.126352
147.320977	1828.025301	0.296348
147.320977	1970.542007	0.456786
78.727551	2366.636761	0.528286
78.727551	2231.259421	2.410621
78.727551	2347.581467	1.614644
143.865002	2172.513945	0.126617
143.865002	1841.059064	0.300507
143.865002	1980.749509	0.521410
88.572518	2336.851190	0.156408
88.572518	2178.711385	1.549670
83.902706	2349.778946	0.177086
83.902706	2211.260089	1.818752
87.127886	2337.001479	0.154636
87.127886	2175.503497	1.377207
142.019087	2176.602344	0.162346
142.019087	1846.810980	0.381536
142.019087	1987.664943	0.674095
145.843728	2169.369589	0.121401
145.843728	1834.035948	0.290218
145.843728	1975.106144	0.488502
68.029807	2383.559065	0.287229
68.029807	2265.862704	1.515776
68.029807	3008.602165	1320.105476
66.493384	2385.971798	0.293637
66.493384	2287.641895	1.939106
66.493384	2115.312171	10.554868
66.493384	957.626156	52.093964
125.606352	2244.772526	0.199281
125.606352	1951.076970	0.539788
152.683962	2169.047391	0.132058
152.683962	1829.027520	0.297577
94.844681	2320.715114	0.181151
94.844681	2144.576339	1.426740
156.910953	2165.596234	0.122552
156.910953	1819.636725	0.274363
105.974368	2291.311608	0.150279
105.974368	2044.417146	0.597533
120.784246	2257.528125	0.150517
120.784246	1973.328793	0.416049
163.486365	2163.254473	0.139639
163.486365	1810.830195	0.379805
163.486365	1960.804318	0.529486
143.256905	2174.049970	0.150359
143.256905	1842.984968	0.399259
143.256905	1983.327475	0.607147
151.866940	2139.083365	0.188880
151.866940	1778.687243	0.524422
151.866940	2172.480502	0.352253
151.866940	1874.589459	4.933190
157.831402	2165.227633	0.126882
157.831402	1818.248030	0.279676
157.831402	1965.695423	0.408655
150.790079	2139.327545	0.126712
150.790079	1780.230849	0.294431
55.726657	2369.029164	0.996942
55.726657	2265.550505	3.773474
55.726657	1943.149979	23.513366
55.726657	675.204040	4.030749
